file,algorithm,selfreport,compressedsize_mb,mem_mb,time_sec
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim,64.848301,1009.9147844314575,4313.20703125,95.98
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim-gv,75.091709,1009.9147844314575,6821.25390625,83.18
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim-gjkw,60.679134,1009.9147844314575,6944.16796875,91.43
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim-sig,188.718001,1009.9147844314575,3424.9140625,206.93
ltsbenchmarks/vlts-benchmarks/cwi_2165_8723/cwi_2165_8723.aut,bisim,9.221706,210.34186840057373,978.81640625,15.78
ltsbenchmarks/vlts-benchmarks/cwi_2165_8723/cwi_2165_8723.aut,bisim-gv,15.327042,210.34186840057373,2754.8515625,19.27
ltsbenchmarks/vlts-benchmarks/cwi_2165_8723/cwi_2165_8723.aut,bisim-gjkw,21.370883,210.34186840057373,2798.89453125,27.43
ltsbenchmarks/vlts-benchmarks/cwi_2165_8723/cwi_2165_8723.aut,bisim-sig,145.697131,210.34186840057373,824.3046875,141.4
ltsbenchmarks/vlts-benchmarks/cwi_33949_165318/cwi_33949_165318.aut,bisim,276.301291,4328.409059524536,16698.078125,407.45
ltsbenchmarks/vlts-benchmarks/cwi_33949_165318/cwi_33949_165318.aut,bisim-gv,0,0,0,0
ltsbenchmarks/vlts-benchmarks/cwi_33949_165318/cwi_33949_165318.aut,bisim-gjkw,0,0,0,0
ltsbenchmarks/vlts-benchmarks/cwi_33949_165318/cwi_33949_165318.aut,bisim-sig,0,0,0,0
ltsbenchmarks/vlts-benchmarks/vasy_52_318/vasy_52_318.aut,bisim,0.305654,10.070051193237305,42.390625,0.73
ltsbenchmarks/vlts-benchmarks/vasy_52_318/vasy_52_318.aut,bisim-gv,0.37016,10.070051193237305,72.25390625,0.74
ltsbenchmarks/vlts-benchmarks/vasy_52_318/vasy_52_318.aut,bisim-gjkw,0.46439,10.070051193237305,80.546875,0.88
ltsbenchmarks/vlts-benchmarks/vasy_52_318/vasy_52_318.aut,bisim-sig,1.990125,10.070051193237305,54.0625,2.28
ltsbenchmarks/vlts-benchmarks/vasy_0_1/vasy_0_1.aut,bisim,0.000162,0.02542877197265625,4.51953125,0.02
ltsbenchmarks/vlts-benchmarks/vasy_0_1/vasy_0_1.aut,bisim-gv,0.000368,0.02542877197265625,4.609375,0.02
ltsbenchmarks/vlts-benchmarks/vasy_0_1/vasy_0_1.aut,bisim-gjkw,0.000488,0.02542877197265625,4.65234375,0.02
ltsbenchmarks/vlts-benchmarks/vasy_0_1/vasy_0_1.aut,bisim-sig,0.000776,0.02542877197265625,4.44140625,0.02
ltsbenchmarks/vlts-benchmarks/vasy_4220_13944/vasy_4220_13944.aut,bisim,29.779726,319.5420799255371,1956.26953125,49.17
ltsbenchmarks/vlts-benchmarks/vasy_4220_13944/vasy_4220_13944.aut,bisim-gv,0,0,0,0
ltsbenchmarks/vlts-benchmarks/vasy_4220_13944/vasy_4220_13944.aut,bisim-gjkw,86.994815,319.5420799255371,5077.08203125,95.58
ltsbenchmarks/vlts-benchmarks/vasy_4220_13944/vasy_4220_13944.aut,bisim-sig,384.522536,319.5420799255371,1619.21875,360.77
ltsbenchmarks/vlts-benchmarks/vasy_4338_15666/vasy_4338_15666.aut,bisim,37.440675,360.6594476699829,2911.03125,62.75
ltsbenchmarks/vlts-benchmarks/vasy_4338_15666/vasy_4338_15666.aut,bisim-gv,0,0,0,0
ltsbenchmarks/vlts-benchmarks/vasy_4338_15666/vasy_4338_15666.aut,bisim-gjkw,170.99818,360.6594476699829,7494.16015625,141.27
ltsbenchmarks/vlts-benchmarks/vasy_4338_15666/vasy_4338_15666.aut,bisim-sig,214.730563,360.6594476699829,2631.5546875,222.33
ltsbenchmarks/vlts-benchmarks/vasy_720_390/vasy_720_390.aut,bisim,0.294884,10.525578498840332,87.65234375,0.77
ltsbenchmarks/vlts-benchmarks/vasy_720_390/vasy_720_390.aut,bisim-gv,0.239176,10.525578498840332,124.4765625,0.68
ltsbenchmarks/vlts-benchmarks/vasy_720_390/vasy_720_390.aut,bisim-gjkw,0.539419,10.525578498840332,195.6640625,0.95
ltsbenchmarks/vlts-benchmarks/vasy_720_390/vasy_720_390.aut,bisim-sig,0.963944,10.525578498840332,102.015625,1.39
ltsbenchmarks/vlts-benchmarks/vasy_386_1171/vasy_386_1171.aut,bisim,0.606685,24.519505500793457,135.65625,1.67
ltsbenchmarks/vlts-benchmarks/vasy_386_1171/vasy_386_1171.aut,bisim-gv,0.809345,24.519505500793457,345.62109375,1.7
ltsbenchmarks/vlts-benchmarks/vasy_386_1171/vasy_386_1171.aut,bisim-gjkw,1.089407,24.519505500793457,286.7421875,2.09
