file                                                                                                     ,algorithm ,num_states ,mem_mb ,time_sec
"benchmarks/large/wta_Word,or_0,0,0,4_47212500_50_944250_32.boa"                                         ,distr     ,    944250 ,6786   ,675
"benchmarks/large/wta_Word,or_0,0,0,4_47212500_50_944250_32.boa"                                         ,copar     ,    944250 ,NA     ,NA
"benchmarks/large/wta_Z,max_0,0,0,4_50399500_50_1007990_32.boa"                                          ,distr     ,   1007990 ,5644   ,645
"benchmarks/large/wta_Z,max_0,0,0,4_50399500_50_1007990_32.boa"                                          ,copar     ,   1007990 ,NA     ,NA
"benchmarks/large/wta_powerset_0,0,0,4_65000000_2_1300000_32.boa"                                        ,distr     ,   1300000 ,7092   ,1377
"benchmarks/large/wta_powerset_0,0,0,4_65000000_2_1300000_32.boa"                                        ,copar     ,   1300000 ,NA     ,NA
"benchmarks/compare-copar-same/wta_powerset_0,4_7743150_2_154863_32.boa"                                 ,distr     ,    154863 ,621    ,160
"benchmarks/compare-copar-same/wta_powerset_0,4_7743150_2_154863_32.boa"                                 ,copar     ,    154863 ,NA     ,449
"benchmarks/compare-copar-same/wta_Z,max_0,4_7845650_50_156913_32.boa"                                   ,distr     ,    156913 ,677    ,82
"benchmarks/compare-copar-same/wta_Z,max_0,4_7845650_50_156913_32.boa"                                   ,copar     ,    156913 ,NA     ,438
"benchmarks/compare-copar-same/wta_powerset_0,0,0,0,4_4624550_2_92491_32.boa"                            ,distr     ,     92491 ,728    ,67
"benchmarks/compare-copar-same/wta_powerset_0,0,0,0,4_4624550_2_92491_32.boa"                            ,copar     ,     92491 ,NA     ,723
"benchmarks/compare-copar-same/wta_powerset_0,0,4_6900000_2_138000_32.boa"                               ,distr     ,    138000 ,715    ,129
"benchmarks/compare-copar-same/wta_powerset_0,0,4_6900000_2_138000_32.boa"                               ,copar     ,    138000 ,NA     ,467
"benchmarks/compare-copar-same/wta_powerset_0,0,0,4_6710350_2_134207_32.boa"                             ,distr     ,    134207 ,825    ,113
"benchmarks/compare-copar-same/wta_powerset_0,0,0,4_6710350_2_134207_32.boa"                             ,copar     ,    134207 ,NA     ,689
"benchmarks/compare-copar-same/wta_Word,or_0,0,0,4_4721250_50_94425_32.boa"                              ,distr     ,     94425 ,639    ,59
"benchmarks/compare-copar-same/wta_Word,or_0,0,0,4_4721250_50_94425_32.boa"                              ,copar     ,     94425 ,NA     ,528
