file,algorithm,selfreport,compressedsize_mb,mem_mb,time_sec
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim,72.790958,1009.9147844314575,4312.765625,107.89
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim-gv,81.038897,1009.9147844314575,6828.359375,90.32
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim-gjkw,72.339434,1009.9147844314575,6943.34765625,107.21
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim-sig,210.365763,1009.9147844314575,3424.34375,231.69
ltsbenchmarks/vlts-benchmarks/cwi_2165_8723/cwi_2165_8723.aut,bisim,9.585217,210.34186840057373,979.41015625,16.25
ltsbenchmarks/vlts-benchmarks/cwi_2165_8723/cwi_2165_8723.aut,bisim-gv,15.669125,210.34186840057373,2851.05859375,19.43
ltsbenchmarks/vlts-benchmarks/cwi_2165_8723/cwi_2165_8723.aut,bisim-gjkw,23.987399,210.34186840057373,2805.2109375,29.86
ltsbenchmarks/vlts-benchmarks/cwi_2165_8723/cwi_2165_8723.aut,bisim-sig,149.461078,210.34186840057373,822.6640625,144.94
ltsbenchmarks/vlts-benchmarks/cwi_33949_165318/cwi_33949_165318.aut,bisim,290.495265,4328.409059524536,16661.1875,428.43
ltsbenchmarks/vlts-benchmarks/cwi_33949_165318/cwi_33949_165318.aut,bisim-gv,0,0,0,0
ltsbenchmarks/vlts-benchmarks/cwi_33949_165318/cwi_33949_165318.aut,bisim-gjkw,0,0,0,0
ltsbenchmarks/vlts-benchmarks/cwi_33949_165318/cwi_33949_165318.aut,bisim-sig,0,0,0,0
ltsbenchmarks/vlts-benchmarks/vasy_52_318/vasy_52_318.aut,bisim,0.592264,10.070051193237305,42.50390625,1.04
ltsbenchmarks/vlts-benchmarks/vasy_52_318/vasy_52_318.aut,bisim-gv,0.643913,10.070051193237305,127.20703125,0.95
ltsbenchmarks/vlts-benchmarks/vasy_52_318/vasy_52_318.aut,bisim-gjkw,0.665946,10.070051193237305,84.0,1.09
ltsbenchmarks/vlts-benchmarks/vasy_52_318/vasy_52_318.aut,bisim-sig,2.321697,10.070051193237305,50.1015625,2.65
ltsbenchmarks/vlts-benchmarks/vasy_0_1/vasy_0_1.aut,bisim,0.000155,0.02542877197265625,4.59765625,0.02
ltsbenchmarks/vlts-benchmarks/vasy_0_1/vasy_0_1.aut,bisim-gv,0.000363,0.02542877197265625,4.6171875,0.02
ltsbenchmarks/vlts-benchmarks/vasy_0_1/vasy_0_1.aut,bisim-gjkw,0.000543,0.02542877197265625,4.71875,0.02
ltsbenchmarks/vlts-benchmarks/vasy_0_1/vasy_0_1.aut,bisim-sig,0.000794,0.02542877197265625,4.59375,0.03
ltsbenchmarks/vlts-benchmarks/vasy_4220_13944/vasy_4220_13944.aut,bisim,37.167894,319.5420799255371,2009.6171875,56.87
ltsbenchmarks/vlts-benchmarks/vasy_4220_13944/vasy_4220_13944.aut,bisim-gv,0,0,0,0
ltsbenchmarks/vlts-benchmarks/vasy_4220_13944/vasy_4220_13944.aut,bisim-gjkw,134.927654,319.5420799255371,4486.87109375,111.71
ltsbenchmarks/vlts-benchmarks/vasy_4220_13944/vasy_4220_13944.aut,bisim-sig,364.401864,319.5420799255371,1961.859375,356.57
ltsbenchmarks/vlts-benchmarks/vasy_4338_15666/vasy_4338_15666.aut,bisim,36.95866,360.6594476699829,3160.265625,59.8
