file,algorithm,selfreport,compressedsize_mb,mem_mb,time_sec
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim,67.814332,1009.9147844314575,4313.421875,97.41
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim,68.040598,1009.9147844314575,4313.44140625,96.55
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim,68.804924,1009.9147844314575,4312.6953125,96.9
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim-gv,67.742364,1009.9147844314575,6868.3671875,73.6
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim-gv,65.473975,1009.9147844314575,6911.19921875,73.6
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim-gv,64.943389,1009.9147844314575,6962.56640625,72.32
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim-gjkw,60.044739,1009.9147844314575,6943.1484375,87.23
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim-gjkw,60.206844,1009.9147844314575,6944.046875,87.2
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim-gjkw,61.099812,1009.9147844314575,6943.8125,88.0
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim-sig,187.092711,1009.9147844314575,3425.75390625,203.66
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim-sig,187.725356,1009.9147844314575,3426.203125,204.1
ltsbenchmarks/vlts-benchmarks/vasy_8082_42933/vasy_8082_42933.aut,bisim-sig,188.907585,1009.9147844314575,3426.28125,205.22
ltsbenchmarks/vlts-benchmarks/cwi_2165_8723/cwi_2165_8723.aut,bisim,8.878586,210.34186840057373,975.296875,14.82
ltsbenchmarks/vlts-benchmarks/cwi_2165_8723/cwi_2165_8723.aut,bisim,9.037486,210.34186840057373,975.3203125,15.1
ltsbenchmarks/vlts-benchmarks/cwi_2165_8723/cwi_2165_8723.aut,bisim,8.958223,210.34186840057373,976.7265625,14.87
ltsbenchmarks/vlts-benchmarks/cwi_2165_8723/cwi_2165_8723.aut,bisim-gv,14.549974,210.34186840057373,2852.23046875,17.95
ltsbenchmarks/vlts-benchmarks/cwi_2165_8723/cwi_2165_8723.aut,bisim-gv,14.611396,210.34186840057373,3007.17578125,17.83
ltsbenchmarks/vlts-benchmarks/cwi_2165_8723/cwi_2165_8723.aut,bisim-gv,14.111915,210.34186840057373,2984.68359375,17.64
ltsbenchmarks/vlts-benchmarks/cwi_2165_8723/cwi_2165_8723.aut,bisim-gjkw,20.702203,210.34186840057373,2805.59375,26.18
