        typefmt &               n &        perc_red &               m &      mcrl_times &       boa_times &       mcrl_mems &        boa_mems &       m_per_sec \\
\toprule
            cwi &          142472 &            97\% &          925429 &            0.85 &            0.08 &              99 &              15 &           11.57 \\
            cwi &          214202 &            63\% &          684419 &            0.63 &            0.15 &             111 &              16 &            4.42 \\
            cwi &          371804 &            90\% &          641565 &            0.38 &            0.11 &              95 &              22 &            5.83 \\
            cwi &          566640 &            97\% &         3984157 &            6.19 &            0.44 &             414 &              60 &            9.05 \\
            cwi &         2165446 &            98\% &         8723465 &           10.72 &            1.52 &             978 &             166 &            5.72 \\
            cwi &         2416632 &            96\% &        17605592 &           14.87 &            1.56 &            1780 &             247 &           11.29 \\
            cwi &         7838608 &            87\% &        59101007 &          231.08 &           17.43 &            5777 &             816 &            3.39 \\
            cwi &        33949609 &            99\% &       165318222 &          312.11 &           35.41 &           16698 &            2809 &            4.67 \\
\midrule
           vasy &           52268 &            84\% &          318126 &            0.31 &            0.04 &              48 &               7 &            7.07 \\
           vasy &           65537 &             0\% &         2621480 &            6.62 &            0.14 &             553 &              28 &           19.42 \\
           vasy &           66929 &             0\% &         1302664 &            2.56 &            0.08 &             275 &              18 &           16.28 \\
           vasy &           69754 &             0\% &          520633 &            0.93 &            0.04 &             128 &              11 &           13.02 \\
           vasy &           83436 &             0\% &          325584 &            0.38 &            0.04 &              86 &              10 &             9.3 \\
           vasy &          116456 &             0\% &          368569 &            0.47 &            0.06 &             105 &              15 &            6.14 \\
           vasy &          157604 &            97\% &          297000 &            0.09 &            0.06 &              44 &              11 &             5.4 \\
           vasy &          164865 &            99\% &         1619204 &            1.92 &            0.23 &             162 &              22 &            7.04 \\
           vasy &          166464 &            49\% &          651168 &            0.81 &            0.08 &             116 &              16 &            7.66 \\
           vasy &          386496 &            99\% &         1171872 &            0.67 &            0.08 &             133 &              28 &           13.79 \\
           vasy &          574057 &            99\% &        13561040 &           18.84 &            2.41 &            1277 &             141 &            5.63 \\
           vasy &          720247 &            99\% &          390999 &            0.38 &            0.05 &              88 &              31 &            7.82 \\
           vasy &         1112490 &            99\% &         5290860 &            8.86 &            0.78 &             579 &              93 &            6.78 \\
           vasy &         2581374 &             0\% &        11442382 &           31.95 &            2.30 &            2691 &             285 &            4.97 \\
           vasy &         4220790 &            67\% &        13944372 &           31.82 &            2.87 &            2293 &             311 &            4.87 \\
           vasy &         4338672 &            40\% &        15666588 &           34.89 &            3.12 &            3160 &             372 &            5.03 \\
           vasy &         6020550 &            99\% &        19353474 &           34.91 &            4.11 &            2124 &             534 &            4.71 \\
           vasy &         6120718 &            99\% &        11031292 &           15.56 &            2.37 &            1297 &             325 &            4.65 \\
           vasy &         8082905 &            99\% &        42933110 &           72.45 &            3.79 &            4313 &             719 &           11.33 \\
           vasy &        11026932 &            91\% &        24660513 &           60.57 &            6.26 &            2768 &             661 &            3.94 \\
           vasy &        12323703 &            91\% &        27667803 &           63.49 &            8.16 &            3103 &             740 &            3.39 \\
\bottomrule
